#OTU ID	L1S105	L1S140	L1S208	L1S257	L1S281	L1S57	L1S76	L1S8	L2S155	L2S175	L2S204	L2S222	L2S240	L2S309	L2S357	L2S382	L3S242	L3S294	L3S313	L3S341	L3S360	L3S378	L4S112	L4S137	L4S63	L5S104	L5S155	L5S174	L5S203	L5S222	L5S240	L6S20	L6S68	L6S93
ASV_1	2175	0	0	0	0	2806	3309	2595	10	10	23	0	0	0	14	0	349	0	6	11	0	0	55	0	0	10	0	0	0	0	0	0	0	0
ASV_2	5	0	0	0	0	0	0	0	0	0	24	32	996	47	121	80	0	0	0	22	16	0	330	335	160	0	0	0	0	0	374	3323	1723	1341
ASV_3	0	0	0	0	0	0	0	0	353	779	95	104	341	230	407	494	0	46	144	70	35	3	1269	1712	417	216	140	107	215	148	117	215	500	465
ASV_4	0	2249	2107	1177	1722	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	13	351	0	0	0	0	0	0	5	0	10	0	0	9
ASV_5	803	1174	694	406	242	1081	930	1623	0	0	0	0	3	12	0	0	234	0	0	0	0	201	0	0	0	0	9	0	0	0	0	0	0	0
ASV_6	0	0	5	0	0	0	0	5	27	51	0	0	1181	25	36	76	5	0	16	15	0	0	124	355	84	529	454	254	343	374	532	940	1214	541
ASV_7	1197	647	964	909	531	415	334	243	0	0	0	0	0	0	0	0	28	0	0	0	0	117	0	5	0	0	0	0	0	0	0	0	0	0
ASV_8	0	0	6	7	0	0	0	0	82	227	96	49	0	274	318	105	0	75	145	59	24	0	1392	366	1426	0	0	0	0	0	0	0	0	0
ASV_9	0	0	0	0	0	0	0	3	0	10	0	0	632	11	0	0	0	0	0	0	0	0	9	28	33	176	42	107	203	500	169	622	887	518
ASV_10	0	0	0	0	0	0	0	0	0	0	0	0	207	0	0	0	0	0	8	0	0	0	17	45	10	180	118	687	157	404	78	167	137	808
ASV_11	0	0	0	0	0	0	0	0	11	24	1324	46	0	22	304	0	0	0	0	281	85	0	622	19	118	0	0	0	0	0	0	0	0	0
ASV_12	297	693	365	170	303	107	298	129	0	6	20	12	0	0	10	0	0	0	5	0	3	0	50	0	0	0	0	0	0	0	0	0	0	0
ASV_13	613	0	64	12	232	586	599	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_14	0	0	0	0	0	0	0	0	0	19	0	0	192	0	0	0	0	0	0	0	0	0	0	0	0	0	508	85	443	479	72	203	0	0
ASV_15	146	243	140	95	85	480	153	536	0	0	0	0	0	5	3	0	67	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0
ASV_16	0	0	0	0	0	0	0	0	131	795	21	34	0	19	58	10	0	83	178	0	9	0	199	33	155	0	0	0	0	0	0	0	0	0
ASV_17	0	0	0	0	0	0	0	0	0	44	0	0	181	0	0	0	0	0	0	0	0	0	68	99	37	194	165	85	190	151	48	88	185	129
ASV_18	0	295	472	313	405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	8	5	0
ASV_19	0	0	0	0	0	0	0	0	165	293	48	0	21	84	114	0	0	45	65	26	0	0	297	76	304	0	0	0	0	0	0	0	0	0
ASV_20	0	0	12	2	0	5	0	30	24	96	21	15	137	0	44	17	4	10	57	0	0	0	206	74	24	32	97	52	74	9	40	113	43	95
ASV_21	0	0	0	0	0	0	0	0	11	52	0	0	178	12	22	14	0	0	11	0	0	0	60	44	48	178	44	45	60	31	104	108	224	38
ASV_22	251	55	246	133	131	101	157	85	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_23	0	0	0	0	0	0	0	0	0	0	0	0	146	0	9	72	0	0	0	0	0	0	34	125	25	64	28	27	43	33	62	179	133	155
ASV_24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	7	0	0	1094	0	0	0	0	0	0	0	0	0	0
ASV_25	0	0	0	0	0	0	0	0	10	44	20	15	0	20	62	43	0	14	0	41	0	0	187	326	41	0	0	0	15	16	0	0	77	183
ASV_26	97	187	236	125	95	100	51	86	0	0	0	0	0	0	0	0	13	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0
ASV_27	0	0	0	0	0	0	0	0	95	38	31	13	0	68	61	29	0	25	22	8	0	0	77	64	448	0	0	0	0	0	0	0	0	0
