"#OTU ID","domain","phylum","class","order","family","genus","species"
"ASV_1","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Unknown"
"ASV_2","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","uniformis"
"ASV_3","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Clostridium","hathewayi"
"ASV_4","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Unknown"
"ASV_5","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Unknown"
"ASV_6","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Unknown"
"ASV_7","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Unknown"
"ASV_8","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Clostridium","Unknown"
"ASV_9","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","uniformis"
"ASV_10","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","[Paraprevotellaceae]","Paraprevotella","Unknown"
"ASV_11","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Parabacteroides","distasonis"
"ASV_12","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Parabacteroides","Unknown"
"ASV_13","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia","coli"
"ASV_14","Bacteria","Firmicutes","Clostridia","Clostridiales","Unknown","Unknown","Unknown"
"ASV_15","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","caccae"
"ASV_16","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Akkermansia","muciniphila"
"ASV_17","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Unknown"
"ASV_18","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","Unknown"
"ASV_19","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","ovatus"
"ASV_20","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","putredinis"
"ASV_21","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Unknown","Unknown"
"ASV_22","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Clostridium","symbiosum"
"ASV_23","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","producta"
"ASV_24","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","[Odoribacteraceae]","Butyricimonas","Unknown"
"ASV_25","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","finegoldii"
"ASV_26","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","Unknown","Unknown"
"ASV_27","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Unknown","Unknown"
"ASV_28","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Parabacteroides","Unknown"
"ASV_29","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Unknown","Unknown"
"ASV_30","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus","eutactus"
"ASV_31","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira","Unknown"
"ASV_32","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","[Barnesiellaceae]","Unknown","Unknown"
"ASV_33","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Unknown","Unknown"
"ASV_34","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus","bromii"
"ASV_35","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","Coprobacillus","cateniformis"
"ASV_36","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","Unknown"
"ASV_37","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","Unknown"
"ASV_38","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","[Ruminococcus]","gnavus"
"ASV_39","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Unknown","Unknown"
"ASV_40","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","Unknown"
"ASV_41","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Parabacteroides","Unknown"
"ASV_42","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","Unknown"
"ASV_43","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","prausnitzii"
"ASV_44","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Clostridium","lavalense"
"ASV_45","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","Holdemania","Unknown"
"ASV_46","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Unknown","Unknown"
"ASV_47","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Unknown","Unknown"
"ASV_48","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Gemmiger","formicilis"
"ASV_49","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","[Odoribacteraceae]","Butyricimonas","Unknown"
"ASV_50","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","Unknown"
"ASV_51","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Sutterella","Unknown"
"ASV_52","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Unknown"
"ASV_53","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Unknown","Unknown"
